Nome,Sexo,Idade,Profissao,Salario,EC
Marcia,M,18.0,Gerente,22227.04,Casado
Luana,F,51.0,Arquiteto,13314.47,Casado
Fernanda,F,64.0,Gerente de Vendas,7957.34,Divorciado
Gustavo,M,19.0,Gerente,,Casado
Juliana,M,65.0,Analista de Sistemas,13124.25,Divorciado
Fernanda,F,26.0,Diretor (CTO),19271.64,Casado
Rafael,F,56.0,Diretor (CTO),19973.33,Casado
Ana,M,25.0,Dentista,13984.3,Divorciado
Leandro,M,64.0,Farmacêutico,4649.43,Viúvo
Francisco,F,32.0,Diretor Executivo (CEO),12245.16,Viúvo
Felipe,M,31.0,Programador,14483.56,Solteiro
Adriana,F,31.0,Piloto,3001.66,Divorciado
Luciana,F,32.0,Cientista de Dados,20732.74,Casado
Carla,F,25.0,Piloto,7730.55,Viúvo
Joao,M,62.0,Dentista,9306.87,Divorciado
Aline,M,,Médico,20860.3,Solteiro
Claudia,M,44.0,Veterinário,7439.03,Divorciado
Carla,F,20.0,Programador,13631.52,Divorciado
Antonio,F,52.0,Engenheiro de Petróleo,4275.58,Viúvo
Ricardo,F,46.0,Consultor,21583.09,Viúvo
Camila,F,63.0,Dentista,9496.77,Viúvo
Gabriel,M,58.0,Cientista de Dados,4672.25,Viúvo
Thiago,M,53.0,Gerente,13100.48,Divorciado
Mariana,M,34.0,Arquiteto,18059.77,Viúvo
Daniel,F,28.0,Piloto,16773.34,Solteiro
Paula,F,39.0,Analista de Sistemas,20331.84,Casado
Juliana,F,43.0,Gerente,11387.24,Solteiro
Gustavo,M,52.0,Diretor (CTO),11496.39,Casado
Raquel,F,62.0,Gerente,21987.38,Viúvo
Rafael,F,32.0,Arquiteto,5414.88,Solteiro
Francisco,M,26.0,Advogado,6939.15,Viúvo
Beatriz,F,55.0,Diretor (CTO),9981.78,Viúvo
Amanda,F,27.0,Engenheiro de Petróleo,19467.37,Solteiro
José,M,20.0,Cientista de Dados,7898.0,Divorciado
Lucas,F,39.0,Consultor,6313.97,Viúvo
Luana,M,38.0,Gerente,8867.07,Casado
Bruna,F,56.0,Consultor,15403.08,Viúvo
José,M,24.0,Veterinário,20399.12,Solteiro
Leandro,F,57.0,Analista de Sistemas,11244.39,Viúvo
Ricardo,M,26.0,Dentista,4982.84,Divorciado
Rafael,F,35.0,Médico,18688.55,Solteiro
Joao,M,47.0,Advogado,,Solteiro
Luciana,M,50.0,Farmacêutico,14355.1,Viúvo
Sandra,M,29.0,Gerente,7330.54,Viúvo
Bruno,F,63.0,Piloto,17043.15,Viúvo
Leonardo,F,47.0,Médico,12105.29,Casado
Bruno,M,37.0,Consultor,8301.42,Divorciado
Carla,F,23.0,Programador,8234.64,Casado
Paulo,F,23.0,Dentista,10150.63,Solteiro
Carlos,F,32.0,Consultor,3201.15,Viúvo
Gabriel,F,22.0,Arquiteto,8058.59,Solteiro
Beatriz,F,31.0,Médico,20854.3,Divorciado
Ricardo,F,29.0,Analista de Sistemas,6131.94,Casado
Ana,F,39.0,Cientista de Dados,8320.69,Solteiro
Bruna,F,30.0,Veterinário,19174.81,Casado
Leandro,F,34.0,Farmacêutico,17336.69,Viúvo
Marcelo,M,33.0,Diretor Executivo (CEO),14402.9,Divorciado
Marcelo,M,49.0,Advogado,22462.85,Divorciado
Rafael,M,54.0,Advogado,12259.75,Viúvo
Carla,F,52.0,Gerente de Vendas,14526.0,Viúvo
Rafael,F,19.0,Programador,22149.66,Viúvo
Mariana,M,26.0,Consultor,5514.44,Solteiro
