Nome,Sexo,Idade,Profissao,Salario,EC
Gustavo,M,19.0,Gerente,,Casado
Aline,M,,Médico,20860.3,Solteiro
Joao,M,47.0,Advogado,,Solteiro
Anderson,F,37.0,Arquiteto,,Casado
Antonio,F,,Engenheiro de Petróleo,12143.78,Solteiro
Ana Paula,M,41.0,Dentista,,Casado
Fatima,M,,Cientista de Dados,19932.25,Casado
Paulo,M,31.0,Piloto,,Casado
Antonio,M,65.0,Médico,,Viúvo
Mariana,M,,Engenheiro,12894.88,Viúvo
Gustavo,F,48.0,Diretor Executivo (CEO),,Solteiro
Larissa,M,,Dentista,7999.4,Viúvo
Eliane,M,31.0,Gerente de TI,,Divorciado
Carlos,M,,Gerente de TI,9049.56,Casado
Paula,F,63.0,Piloto,,Viúvo
Fernando,M,47.0,Engenheiro,,Viúvo
Bruna,F,,Piloto,14588.49,Solteiro
Gustavo,M,28.0,Cientista de Dados,,Casado
Maria,F,34.0,Engenheiro,,Solteiro
Gustavo,F,,Veterinário,4879.1,Solteiro
Juliana,F,34.0,Piloto,,Casado
Felipe,M,,Médico,18070.15,Solteiro
Luiz,M,38.0,Analista de Sistemas,,Solteiro
Gustavo,F,50.0,Gerente,,Divorciado
Marcelo,M,37.0,Farmacêutico,,Solteiro
Matheus,F,22.0,Farmacêutico,,Divorciado
Renata,F,,Diretor Executivo (CEO),19143.33,Divorciado
Francisca,M,38.0,Veterinário,,Divorciado
Gabriela,M,,Gerente de TI,3499.34,Divorciado
Fatima,F,,Gerente,9717.42,Solteiro
Felipe,F,23.0,Analista de Sistemas,,Divorciado
Gabriel,F,54.0,Gerente de TI,,Solteiro
Vanessa,M,,Programador,8735.27,Viúvo
José,M,,Gerente de Vendas,3350.17,Viúvo
Carlos,F,59.0,Gerente de Vendas,,Viúvo
Claudia,F,25.0,Gerente de TI,,Solteiro
Mariana,F,64.0,Programador,,Divorciado
Felipe,M,63.0,Gerente,,Viúvo
Gabriela,M,27.0,Engenheiro de Petróleo,,Casado
Matheus,M,,Gerente de TI,4233.17,Divorciado
Thiago,F,,Dentista,16358.12,Casado
Matheus,M,24.0,Analista de Sistemas,,Viúvo
Lucas,M,,Farmacêutico,6698.62,Solteiro
Lucas,F,,Cientista de Dados,4741.0,Casado
Pedro,M,,Engenheiro,12168.81,Casado
Claudia,F,,Piloto,13304.09,Divorciado
Francisca,M,,Cientista de Dados,21376.35,Viúvo
Fernanda,F,,Engenheiro de Petróleo,5133.02,Solteiro
Fernanda,M,,Gerente de Vendas,5484.0,Casado
Ana Paula,F,30.0,Farmacêutico,,Solteiro
Joao,M,46.0,Analista de Sistemas,,Solteiro
Paulo,M,,Consultor,5541.96,Viúvo
Jessica,F,,Gerente,15907.79,Solteiro
Raquel,M,65.0,Veterinário,,Casado
Adriana,M,,Gerente,19601.6,Viúvo
